iter	Logloss
0	0.3049766686
1	0.2201885844
2	0.1951848531
3	0.1868545735
4	0.1812190021
5	0.1794403442
6	0.175097658
7	0.1741149075
8	0.1728089759
9	0.171840234
10	0.1709562066
11	0.1699220661
12	0.1697719023
13	0.1691869388
14	0.168753573
15	0.167775316
16	0.1674676465
17	0.1671333054
18	0.1669671281
19	0.1657422083
20	0.1653035245
21	0.1646898781
22	0.164563858
23	0.1639097762
24	0.1635237455
25	0.1634303891
26	0.1633483244
27	0.1630832065
28	0.1618954961
29	0.1612284786
30	0.1607110849
31	0.1600667747
32	0.1593806765
33	0.1591973188
34	0.1590417584
35	0.1584786241
36	0.1578995778
37	0.1578990635
38	0.1576163111
39	0.1559007282
40	0.1553798785
41	0.1549991199
42	0.1548252431
43	0.1547090996
44	0.1539099427
45	0.1535077139
46	0.153129975
47	0.1524653509
48	0.1517076085
49	0.1514271246
50	0.1511745427
51	0.1505479207
52	0.1504301916
53	0.1500513047
54	0.1499259846
55	0.1496564347
56	0.1493604445
57	0.1490554524
58	0.1487812703
59	0.1483938971
60	0.1474602337
61	0.1472378977
62	0.1465579311
63	0.1456549402
64	0.1455844561
65	0.1454703377
66	0.1451198527
67	0.1445913608
68	0.1441360497
69	0.143558867
70	0.1432765502
71	0.1429379507
72	0.1426884978
73	0.142293446
74	0.142160575
75	0.1415547144
76	0.1413746686
77	0.140873402
78	0.1401445214
79	0.1396023827
