iter	Passed	Remaining
0	12	1001
1	29	1147
2	42	1095
3	58	1106
4	71	1071
5	92	1135
6	106	1112
7	121	1093
8	138	1089
9	149	1045
10	159	1001
11	170	964
12	184	952
13	202	956
14	217	943
15	227	911
16	238	882
17	248	854
18	258	828
19	268	804
20	278	782
21	288	760
22	301	746
23	306	715
24	316	697
25	329	684
26	343	673
27	361	670
28	377	663
29	387	645
30	397	628
31	408	612
32	418	596
33	431	583
34	440	566
35	450	550
36	466	541
37	477	528
38	488	513
39	500	500
40	512	487
41	523	473
42	533	459
43	543	445
44	554	431
45	564	417
46	574	403
47	585	390
48	599	379
49	616	369
50	629	358
51	640	345
52	651	332
53	662	319
54	678	308
55	689	295
56	701	283
57	713	270
58	724	257
59	734	244
60	745	232
61	755	219
62	765	206
63	775	193
64	786	181
65	796	168
66	806	156
67	816	144
68	827	131
69	839	119
70	853	108
71	865	96
72	883	84
73	896	72
74	908	60
75	920	48
76	932	36
77	942	24
78	957	12
79	969	0
