iter	Passed	Remaining
0	12	14619
1	27	15882
2	46	17621
3	61	17428
4	77	17762
5	91	17358
6	113	18507
7	129	18357
8	172	21767
9	194	22129
10	205	21199
11	228	21563
12	242	21164
13	252	20388
14	292	22082
15	312	22088
16	348	23167
17	375	23525
18	400	23773
19	421	23709
20	427	22902
21	453	23149
22	490	23933
23	520	24337
24	556	24971
25	597	25720
26	631	26154
27	662	26470
28	697	26884
29	718	26742
30	740	26635
31	770	26828
32	795	26820
33	821	26883
34	854	27130
35	878	27097
36	897	26888
37	926	27017
38	945	26837
39	975	26977
40	1001	26990
41	1034	27194
42	1055	27070
43	1078	27009
44	1108	27115
45	1132	27075
46	1155	27027
47	1187	27153
48	1221	27346
49	1251	27430
50	1274	27370
51	1294	27228
52	1314	27111
53	1333	26959
54	1357	26921
55	1382	26918
56	1402	26794
57	1418	26609
58	1440	26537
59	1464	26515
60	1483	26379
61	1504	26309
62	1538	26446
63	1560	26388
64	1582	26323
65	1611	26368
66	1640	26421
67	1660	26320
68	1677	26184
69	1696	26081
70	1716	25986
71	1735	25894
72	1760	25881
73	1784	25852
74	1804	25773
75	1826	25718
76	1848	25666
77	1868	25578
78	1898	25641
79	1919	25580
80	1953	25679
81	1981	25713
82	2013	25782
83	2038	25768
84	2065	25781
85	2088	25739
86	2107	25647
87	2122	25516
88	2147	25500
89	2163	25389
90	2190	25393
91	2218	25418
92	2244	25411
93	2263	25337
94	2283	25268
95	2308	25254
96	2337	25278
97	2362	25265
98	2384	25219
99	2406	25170
100	2421	25056
101	2440	24983
102	2462	24934
103	2481	24864
104	2505	24843
105	2529	24819
106	2553	24797
107	2571	24715
108	2595	24689
109	2614	24622
110	2648	24691
111	2674	24690
112	2702	24702
113	2729	24709
114	2754	24691
115	2779	24684
116	2809	24704
117	2832	24677
118	2857	24663
119	2883	24655
120	2899	24561
121	2919	24507
122	2943	24484
123	2962	24417
124	2993	24454
125	3013	24393
126	3036	24359
127	3062	24358
128	3089	24358
129	3114	24337
130	3136	24299
131	3157	24256
132	3183	24248
133	3209	24242
134	3233	24213
135	3256	24183
136	3282	24174
137	3305	24146
138	3329	24117
139	3356	24119
140	3381	24103
141	3402	24056
142	3427	24042
143	3449	24005
144	3470	23961
145	3492	23923
146	3513	23878
147	3537	23853
148	3561	23829
149	3579	23765
150	3596	23701
151	3628	23728
152	3652	23703
153	3679	23700
154	3706	23697
155	3731	23677
156	3757	23672
157	3782	23655
158	3808	23644
159	3824	23566
160	3848	23546
161	3873	23526
162	3896	23500
163	3922	23487
164	3949	23481
165	3972	23454
166	3996	23429
167	4016	23383
168	4045	23388
169	4070	23366
170	4095	23349
171	4123	23348
