iter	Passed	Remaining
0	35	3494
1	55	2720
2	75	2439
3	94	2277
4	111	2111
5	120	1887
6	142	1895
7	155	1785
8	165	1672
9	184	1657
10	191	1551
11	201	1477
12	209	1400
13	220	1353
14	227	1288
15	234	1233
16	242	1183
17	247	1129
18	253	1082
19	263	1054
20	269	1012
21	275	975
22	283	948
23	288	913
24	298	895
25	306	871
26	317	858
27	322	830
28	330	807
29	336	785
30	343	764
31	349	742
32	356	723
33	368	714
34	373	694
35	380	675
36	389	663
37	395	644
38	401	628
39	413	620
40	421	607
41	427	590
42	436	578
43	441	561
44	447	547
45	456	535
46	461	520
47	467	506
48	473	492
49	481	481
50	488	469
51	494	456
52	499	443
53	505	430
54	511	418
55	518	407
56	526	397
57	532	385
58	539	374
59	545	363
60	551	352
61	559	343
62	565	332
63	571	321
64	578	311
65	584	301
66	592	291
67	599	281
68	604	271
69	610	261
70	617	252
71	636	247
72	643	238
73	651	228
74	658	219
75	665	210
76	673	201
77	680	191
78	688	182
79	695	173
80	703	165
81	712	156
82	724	148
83	732	139
84	740	130
85	748	121
86	757	113
87	764	104
88	773	95
89	780	86
90	788	77
91	795	69
92	804	60
93	813	51
94	821	43
95	827	34
96	834	25
97	841	17
98	849	8
99	855	0
